2026-02-09 23:49:25 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-09 23:49:25 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-09 23:49:25 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-09 23:49:25 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=8000, relobralo=True, rar=True
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:49:25 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-09 23:49:25 - M5Trainer - INFO - ============================================================
2026-02-09 23:54:56 - M5Trainer - INFO - [Step  7900/8000] Stage D | L=4.5584e-04 (IC=1.865e-04, BC=1.074e-05, PDE=6.676e-03, Qg=1.054e+01) | k=4.84 mD, f=9.8 | Sw=[0.224,0.366] | 331.1s
2026-02-09 23:55:01 - M5Trainer - INFO - [Step  7999/8000] Stage D | L=4.6715e-04 (IC=2.043e-04, BC=1.067e-05, PDE=6.251e-03, Qg=1.048e+01) | k=4.84 mD, f=9.8 | Sw=[0.225,0.363] | 336.0s
2026-02-09 23:55:01 - M5Trainer - INFO - 
M5 训练完成! 耗时: 336.0s, 最佳损失: 2.1404e-07
2026-02-09 23:55:01 - M5Trainer - INFO - 配置快照已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\resolved_config_m5.json
2026-02-09 23:55:01 - M5Trainer - INFO - 反演参数审计: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\reports\M5_inversion_params.json
2026-02-09 23:55:01 - M5Trainer - INFO - qg 对比图已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\figs\M5_qg_comparison_SY9.png
2026-02-09 23:55:01 - M5Trainer - INFO - p_wf 反演图已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\figs\M5_pwf_inversion_SY9.png
2026-02-09 23:55:03 - M5Trainer - INFO - 训练曲线图已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\figs\M5_training_history.png
2026-02-09 23:55:03 - M5Trainer - INFO - 残差热力图已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\figs\M5_pde_residual_map.png
2026-02-09 23:55:03 - M5Trainer - INFO - M5 验收报告已保存: C:\Users\16281\Desktop\cpedc_project\outputs\mk_pinn_dt_v2\reports\M5_validation_report.md
