2026-02-10 18:31:23 - M5Trainer - INFO -   torch.compile 已跳过 (Triton 不支持 Windows, 使用 eager 模式)
2026-02-10 18:31:24 - M5Trainer - INFO -   井 SY9: 1025 条同化数据
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT cg(76.0, 141.39) = 0.009744
2026-02-10 18:31:24 - M5Trainer - INFO -   M3 PVT Bg(76.0, 141.39) = 0.002577
2026-02-10 18:31:24 - M5Trainer - INFO -   PDE 缩放: αx=1.017765, αy=2.546600
2026-02-10 18:31:24 - M5Trainer - INFO - M5Trainer 初始化完成: device=cuda, lr=0.001, max_steps=50000, relobralo=True, rar=True
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:31:24 - M5Trainer - INFO - M5 PINN 井—藏耦合同化训练开始
2026-02-10 18:31:24 - M5Trainer - INFO - ============================================================
2026-02-10 18:48:13 - M5Trainer - INFO - [Step  6500/50000] Stage B | L=1.0246e+01 (IC=2.736e-03, BC=1.069e-03, PDE=8.681e+03, Qg=6.844e+00) | k=5.00 mD, f=9.8 | Sw=[0.202,1.000] | 1009.2s
2026-02-10 18:48:32 - M5Trainer - INFO - [Step  6600/50000] Stage B | L=1.2205e+01 (IC=3.926e-03, BC=1.072e-03, PDE=1.068e+04, Qg=6.841e+00) | k=5.00 mD, f=9.8 | Sw=[0.001,1.000] | 1027.9s
2026-02-10 18:48:50 - M5Trainer - INFO - [Step  6700/50000] Stage B | L=1.2700e+01 (IC=2.696e-03, BC=2.081e-04, PDE=8.929e+03, Qg=6.836e+00) | k=5.00 mD, f=9.8 | Sw=[0.189,1.000] | 1046.5s
2026-02-10 18:49:09 - M5Trainer - INFO - [Step  6800/50000] Stage B | L=2.0115e+01 (IC=1.658e-03, BC=7.034e-04, PDE=1.333e+04, Qg=6.852e+00) | k=5.00 mD, f=9.8 | Sw=[0.143,0.999] | 1065.3s
2026-02-10 18:49:28 - M5Trainer - INFO - [Step  6900/50000] Stage B | L=1.5899e+02 (IC=3.922e-03, BC=2.306e-03, PDE=5.087e+04, Qg=5.338e+00) | k=5.00 mD, f=9.8 | Sw=[0.115,1.000] | 1084.1s
2026-02-10 18:49:47 - M5Trainer - INFO - [Step  7000/50000] Stage B | L=9.6511e+01 (IC=8.438e-03, BC=4.967e-03, PDE=4.284e+04, Qg=5.182e+00) | k=5.00 mD, f=9.8 | Sw=[0.000,0.994] | 1102.9s
2026-02-10 18:50:06 - M5Trainer - INFO - [Step  7100/50000] Stage B | L=2.3257e+02 (IC=1.377e-02, BC=2.304e-03, PDE=6.259e+04, Qg=4.944e+00) | k=5.00 mD, f=9.8 | Sw=[0.001,1.000] | 1122.0s
2026-02-10 18:50:25 - M5Trainer - INFO - [Step  7200/50000] Stage B | L=2.7656e+02 (IC=8.815e-03, BC=6.936e-03, PDE=6.527e+04, Qg=4.749e+00) | k=5.00 mD, f=9.7 | Sw=[0.001,0.994] | 1141.1s
2026-02-10 18:50:44 - M5Trainer - INFO - [Step  7300/50000] Stage B | L=3.0657e+02 (IC=1.096e-02, BC=5.866e-03, PDE=6.334e+04, Qg=4.688e+00) | k=5.00 mD, f=9.7 | Sw=[0.002,0.999] | 1160.1s
2026-02-10 18:51:03 - M5Trainer - INFO - [Step  7400/50000] Stage B | L=5.8065e+02 (IC=4.997e-03, BC=2.296e-03, PDE=6.891e+04, Qg=4.862e+00) | k=5.00 mD, f=9.7 | Sw=[0.033,1.000] | 1179.1s
2026-02-10 18:51:22 - M5Trainer - INFO - [Step  7500/50000] Stage B | L=7.1097e+01 (IC=1.435e-02, BC=7.551e-03, PDE=2.625e+04, Qg=5.685e+00) | k=5.00 mD, f=9.7 | Sw=[0.001,1.000] | 1198.2s
2026-02-10 18:51:41 - M5Trainer - INFO - [Step  7600/50000] Stage B | L=3.5885e+02 (IC=1.886e-02, BC=5.628e-03, PDE=5.749e+04, Qg=4.769e+00) | k=5.00 mD, f=9.7 | Sw=[0.054,0.548] | 1217.6s
2026-02-10 18:52:01 - M5Trainer - INFO - [Step  7700/50000] Stage B | L=4.8197e+02 (IC=1.026e-02, BC=5.456e-03, PDE=5.658e+04, Qg=4.592e+00) | k=5.00 mD, f=9.7 | Sw=[0.000,1.000] | 1237.1s
2026-02-10 18:52:21 - M5Trainer - INFO - [Step  7800/50000] Stage B | L=3.0250e+02 (IC=1.022e-02, BC=8.894e-03, PDE=4.411e+04, Qg=4.792e+00) | k=5.00 mD, f=9.7 | Sw=[0.192,1.000] | 1256.7s
2026-02-10 18:52:40 - M5Trainer - INFO - [Step  7900/50000] Stage B | L=3.9571e+02 (IC=1.875e-02, BC=1.311e-02, PDE=5.269e+04, Qg=4.532e+00) | k=5.00 mD, f=9.7 | Sw=[0.144,1.000] | 1276.2s
2026-02-10 18:53:00 - M5Trainer - INFO - [Step  8000/50000] Stage B | L=5.0388e+02 (IC=4.278e-02, BC=6.205e-02, PDE=7.676e+04, Qg=4.855e+00) | k=5.00 mD, f=9.7 | Sw=[0.071,0.999] | 1295.8s
2026-02-10 18:53:20 - M5Trainer - INFO - [Step  8100/50000] Stage B | L=7.4221e+02 (IC=1.245e-02, BC=7.338e-03, PDE=5.563e+04, Qg=4.603e+00) | k=5.00 mD, f=9.7 | Sw=[0.001,0.450] | 1315.7s
2026-02-10 18:53:40 - M5Trainer - INFO - [Step  8200/50000] Stage B | L=3.6416e+02 (IC=1.784e-02, BC=2.751e-02, PDE=4.332e+04, Qg=4.613e+00) | k=5.00 mD, f=9.7 | Sw=[0.000,1.000] | 1335.6s
2026-02-10 18:53:59 - M5Trainer - INFO - [Step  8300/50000] Stage B | L=1.2510e+02 (IC=2.857e-01, BC=3.137e-01, PDE=5.514e+04, Qg=5.242e+00) | k=5.00 mD, f=9.7 | Sw=[0.064,0.999] | 1355.6s
